"filename", "language", "JSON", "HTML", "Markdown", "JavaScript", "CSS", "XML", "comment", "blank", "total"
"c:\Users\zshhraa\Desktop\openriver\README.md", "Markdown", 0, 0, 38, 0, 0, 0, 0, 33, 71
"c:\Users\zshhraa\Desktop\openriver\package-lock.json", "JSON", 12130, 0, 0, 0, 0, 0, 0, 1, 12131
"c:\Users\zshhraa\Desktop\openriver\package.json", "JSON", 41, 0, 0, 0, 0, 0, 0, 1, 42
"c:\Users\zshhraa\Desktop\openriver\public\index.html", "HTML", 0, 20, 0, 0, 0, 0, 23, 1, 44
"c:\Users\zshhraa\Desktop\openriver\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\zshhraa\Desktop\openriver\src\App.css", "CSS", 0, 0, 0, 0, 15, 0, 1, 1, 17
"c:\Users\zshhraa\Desktop\openriver\src\App.js", "JavaScript", 0, 0, 0, 32, 0, 0, 0, 3, 35
"c:\Users\zshhraa\Desktop\openriver\src\Untitled-1.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\zshhraa\Desktop\openriver\src\components\Category\CategoryCard\index.js", "JavaScript", 0, 0, 0, 31, 0, 0, 0, 4, 35
"c:\Users\zshhraa\Desktop\openriver\src\components\Category\CategoryCard\style.css", "CSS", 0, 0, 0, 0, 55, 0, 1, 4, 60
"c:\Users\zshhraa\Desktop\openriver\src\components\Category\index.js", "JavaScript", 0, 0, 0, 21, 0, 0, 0, 3, 24
"c:\Users\zshhraa\Desktop\openriver\src\components\Category\style.css", "CSS", 0, 0, 0, 0, 26, 0, 4, 1, 31
"c:\Users\zshhraa\Desktop\openriver\src\components\Collection\Strips\index.js", "JavaScript", 0, 0, 0, 19, 0, 0, 0, 3, 22
"c:\Users\zshhraa\Desktop\openriver\src\components\Collection\Strips\style.css", "CSS", 0, 0, 0, 0, 31, 0, 0, 1, 32
"c:\Users\zshhraa\Desktop\openriver\src\components\Collection\index.js", "JavaScript", 0, 0, 0, 67, 0, 0, 0, 4, 71
"c:\Users\zshhraa\Desktop\openriver\src\components\Collection\style.css", "CSS", 0, 0, 0, 0, 69, 0, 0, 1, 70
"c:\Users\zshhraa\Desktop\openriver\src\components\Footer\List\index.js", "JavaScript", 0, 0, 0, 15, 0, 0, 0, 3, 18
"c:\Users\zshhraa\Desktop\openriver\src\components\Footer\List\style.css", "CSS", 0, 0, 0, 0, 29, 0, 0, 1, 30
"c:\Users\zshhraa\Desktop\openriver\src\components\Footer\index.js", "JavaScript", 0, 0, 0, 136, 0, 0, 0, 4, 140
"c:\Users\zshhraa\Desktop\openriver\src\components\Footer\style.css", "CSS", 0, 0, 0, 0, 209, 0, 2, 1, 212
"c:\Users\zshhraa\Desktop\openriver\src\components\Latermidbody\NFTWithProfileCard\index.js", "JavaScript", 0, 0, 0, 53, 0, 0, 0, 5, 58
"c:\Users\zshhraa\Desktop\openriver\src\components\Latermidbody\NFTWithProfileCard\style.css", "CSS", 0, 0, 0, 0, 62, 0, 0, 4, 66
"c:\Users\zshhraa\Desktop\openriver\src\components\Latermidbody\index.js", "JavaScript", 0, 0, 0, 44, 0, 0, 0, 3, 47
"c:\Users\zshhraa\Desktop\openriver\src\components\Latermidbody\style.css", "CSS", 0, 0, 0, 0, 22, 0, 3, 1, 26
"c:\Users\zshhraa\Desktop\openriver\src\components\Midbody\NFTWithProfileCard\index.js", "JavaScript", 0, 0, 0, 53, 0, 0, 0, 5, 58
"c:\Users\zshhraa\Desktop\openriver\src\components\Midbody\NFTWithProfileCard\style.css", "CSS", 0, 0, 0, 0, 62, 0, 0, 4, 66
"c:\Users\zshhraa\Desktop\openriver\src\components\Midbody\index.js", "JavaScript", 0, 0, 0, 44, 0, 0, 0, 3, 47
"c:\Users\zshhraa\Desktop\openriver\src\components\Midbody\style.css", "CSS", 0, 0, 0, 0, 22, 0, 3, 1, 26
"c:\Users\zshhraa\Desktop\openriver\src\components\Navbar\FullpageMenu\Categories\Subcategory\explore.js", "JavaScript", 0, 0, 0, 29, 0, 0, 0, 3, 32
"c:\Users\zshhraa\Desktop\openriver\src\components\Navbar\FullpageMenu\Categories\Subcategory\index.js", "JavaScript", 0, 0, 0, 37, 0, 0, 0, 4, 41
"c:\Users\zshhraa\Desktop\openriver\src\components\Navbar\FullpageMenu\Categories\Subcategory\languages.js", "JavaScript", 0, 0, 0, 27, 0, 0, 0, 3, 30
"c:\Users\zshhraa\Desktop\openriver\src\components\Navbar\FullpageMenu\Categories\Subcategory\resources.js", "JavaScript", 0, 0, 0, 27, 0, 0, 0, 3, 30
"c:\Users\zshhraa\Desktop\openriver\src\components\Navbar\FullpageMenu\Categories\Subcategory\stats.js", "JavaScript", 0, 0, 0, 21, 0, 0, 0, 3, 24
"c:\Users\zshhraa\Desktop\openriver\src\components\Navbar\FullpageMenu\Categories\Subcategory\style.css", "CSS", 0, 0, 0, 0, 31, 0, 0, 3, 34
"c:\Users\zshhraa\Desktop\openriver\src\components\Navbar\FullpageMenu\Categories\images\allnfts-light.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\zshhraa\Desktop\openriver\src\components\Navbar\FullpageMenu\Categories\images\art-light.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\zshhraa\Desktop\openriver\src\components\Navbar\FullpageMenu\Categories\images\collectibles-light.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\zshhraa\Desktop\openriver\src\components\Navbar\FullpageMenu\Categories\images\domain-names-light.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\zshhraa\Desktop\openriver\src\components\Navbar\FullpageMenu\Categories\images\music-light.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\zshhraa\Desktop\openriver\src\components\Navbar\FullpageMenu\Categories\images\photography-category-light.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\zshhraa\Desktop\openriver\src\components\Navbar\FullpageMenu\Categories\images\solana-light.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 1, 7
"c:\Users\zshhraa\Desktop\openriver\src\components\Navbar\FullpageMenu\Categories\images\sports-light.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\zshhraa\Desktop\openriver\src\components\Navbar\FullpageMenu\Categories\images\trading-cards-light.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\zshhraa\Desktop\openriver\src\components\Navbar\FullpageMenu\Categories\images\utility-light.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\zshhraa\Desktop\openriver\src\components\Navbar\FullpageMenu\Categories\images\virtual-worlds-light.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\zshhraa\Desktop\openriver\src\components\Navbar\FullpageMenu\Categories\index.js", "JavaScript", 0, 0, 0, 61, 0, 0, 0, 4, 65
"c:\Users\zshhraa\Desktop\openriver\src\components\Navbar\FullpageMenu\Categories\style.css", "CSS", 0, 0, 0, 0, 38, 0, 0, 1, 39
"c:\Users\zshhraa\Desktop\openriver\src\components\Navbar\FullpageMenu\Socialmedia\index.js", "JavaScript", 0, 0, 0, 35, 0, 0, 0, 3, 38
"c:\Users\zshhraa\Desktop\openriver\src\components\Navbar\FullpageMenu\Socialmedia\style.css", "CSS", 0, 0, 0, 0, 21, 0, 0, 1, 22
"c:\Users\zshhraa\Desktop\openriver\src\components\Navbar\FullpageMenu\index.js", "JavaScript", 0, 0, 0, 21, 0, 0, 0, 3, 24
"c:\Users\zshhraa\Desktop\openriver\src\components\Navbar\FullpageMenu\style.css", "CSS", 0, 0, 0, 0, 46, 0, 0, 1, 47
"c:\Users\zshhraa\Desktop\openriver\src\components\Navbar\index.js", "JavaScript", 0, 0, 0, 127, 0, 0, 0, 5, 132
"c:\Users\zshhraa\Desktop\openriver\src\components\Navbar\style.css", "CSS", 0, 0, 0, 0, 202, 0, 0, 9, 211
"c:\Users\zshhraa\Desktop\openriver\src\components\Postbody\ServiceCard\index.js", "JavaScript", 0, 0, 0, 27, 0, 0, 0, 4, 31
"c:\Users\zshhraa\Desktop\openriver\src\components\Postbody\ServiceCard\style.css", "CSS", 0, 0, 0, 0, 62, 0, 0, 4, 66
"c:\Users\zshhraa\Desktop\openriver\src\components\Postbody\index.js", "JavaScript", 0, 0, 0, 52, 0, 0, 0, 3, 55
"c:\Users\zshhraa\Desktop\openriver\src\components\Postbody\style.css", "CSS", 0, 0, 0, 0, 47, 0, 4, 1, 52
"c:\Users\zshhraa\Desktop\openriver\src\components\Prebody\NFTCard\index.js", "JavaScript", 0, 0, 0, 31, 0, 0, 0, 4, 35
"c:\Users\zshhraa\Desktop\openriver\src\components\Prebody\NFTCard\style.css", "CSS", 0, 0, 0, 0, 68, 0, 0, 3, 71
"c:\Users\zshhraa\Desktop\openriver\src\components\Prebody\index.js", "JavaScript", 0, 0, 0, 54, 0, 0, 0, 3, 57
"c:\Users\zshhraa\Desktop\openriver\src\components\Prebody\style.css", "CSS", 0, 0, 0, 0, 31, 0, 1, 1, 33
"c:\Users\zshhraa\Desktop\openriver\src\index.css", "CSS", 0, 0, 0, 0, 26, 0, 1, 1, 28
"c:\Users\zshhraa\Desktop\openriver\src\index.js", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 2, 8
"Total", "-", 12197, 20, 38, 1070, 1174, 16, 43, 171, 14729